Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
FCR,50,2016-10-07 12:00:00,1.6,12.1,5.3,0,0
FCR,50,2016-10-07 12:00:00,5,7.3,5.1,0,0
BVR,50,2016-04-20 12:00:00,6,3.9,2.9,0,0
BVR,50,2016-05-04 12:00:00,7,8.3,1.7,0,0
BVR,50,2016-05-12 12:00:00,7.5,8.3,1.7,0,0
BVR,50,2016-05-19 12:00:00,7,8.6,4.2,0,0
BVR,50,2016-05-26 12:00:00,9,56.7,9.5,0,0
BVR,50,2016-05-29 12:00:00,9,46.3,9.9,0,0
BVR,50,2016-05-31 12:00:00,9,38,10.3,0,0
BVR,50,2016-06-02 12:00:00,7,15.2,5.2,0,0
BVR,50,2016-06-08 12:00:00,6,3.5,2.9,0,0
BVR,50,2016-06-08 12:00:00,9,68.7,10.7,0,0
BVR,50,2016-06-16 12:00:00,6,2.9,1,0,0
BVR,50,2016-06-16 12:00:00,9,76.7,15.1,0,0
